,period,actual,predicted,sector,feild
174,11-2003,3.8596,5.562472,Transportation,Revenue
179,12-2003,4.58798,6.4345613,Transportation,Revenue
184,01-2004,5.77484,6.026081,Transportation,Revenue
189,02-2004,7.2674199999999995,5.8505692,Transportation,Revenue
194,03-2004,5.66348,5.3895254,Transportation,Revenue
199,04-2004,4.76164,5.604171,Transportation,Revenue
204,05-2004,5.09797,5.6468973,Transportation,Revenue
209,06-2004,4.3038,5.376009,Transportation,Revenue
214,07-2004,5.98158,5.6524034,Transportation,Revenue
219,08-2004,5.30175,6.3219934,Transportation,Revenue
224,09-2004,4.87436,5.5861535,Transportation,Revenue
229,10-2004,5.19172,6.0270925,Transportation,Revenue
234,11-2004,4.45686,6.338676,Transportation,Revenue
239,12-2004,4.47854,5.8067226,Transportation,Revenue
244,01-2005,9.18631,6.3769007,Transportation,Revenue
249,02-2005,6.35316,6.5279584,Transportation,Revenue
254,03-2005,3.6466499999999997,6.0105376,Transportation,Revenue
259,04-2005,5.98051,6.0751595,Transportation,Revenue
264,05-2005,5.13866,5.795674,Transportation,Revenue
269,06-2005,5.7344100000000005,6.4510646,Transportation,Revenue
274,07-2005,3.71938,6.7132263,Transportation,Revenue
279,08-2005,8.53478,6.418626,Transportation,Revenue
284,09-2005,6.09347,6.455561,Transportation,Revenue
289,10-2005,6.06466,6.0773535,Transportation,Revenue
294,11-2005,5.51408,6.28525,Transportation,Revenue
299,12-2005,6.44792,6.408741,Transportation,Revenue
304,01-2006,6.707269999999999,6.468311,Transportation,Revenue
309,02-2006,5.7806,6.0359,Transportation,Revenue
314,03-2006,6.49923,6.1388583,Transportation,Revenue
319,04-2006,5.50294,6.191829,Transportation,Revenue
324,05-2006,5.8853100000000005,6.0106997,Transportation,Revenue
329,06-2006,5.06592,6.2868896,Transportation,Revenue
334,07-2006,6.49648,6.2503805,Transportation,Revenue
339,08-2006,6.11502,6.3986254,Transportation,Revenue
344,09-2006,6.05882,6.9744115,Transportation,Revenue
349,10-2006,6.32469,7.050194,Transportation,Revenue
354,11-2006,4.5784899999999995,6.212949,Transportation,Revenue
359,12-2006,6.04922,6.096751,Transportation,Revenue
364,01-2007,9.09072,6.4771132,Transportation,Revenue
369,02-2007,6.43336,6.5041776,Transportation,Revenue
374,03-2007,11.13474,6.2686815,Transportation,Revenue
379,04-2007,7.87646,6.3061624,Transportation,Revenue
384,05-2007,4.91863,6.0993133,Transportation,Revenue
389,06-2007,5.86413,6.3704286,Transportation,Revenue
394,07-2007,6.49237,6.798635,Transportation,Revenue
399,08-2007,6.52624,7.4490404,Transportation,Revenue
404,09-2007,6.28258,7.9184084,Transportation,Revenue
409,10-2007,6.03517,7.3953657,Transportation,Revenue
414,11-2007,6.11298,6.409534,Transportation,Revenue
419,12-2007,7.6446,6.4926376,Transportation,Revenue
424,01-2008,9.40333,6.644198,Transportation,Revenue
429,02-2008,8.13785,6.95251,Transportation,Revenue
434,03-2008,8.73304,7.6775513,Transportation,Revenue
439,04-2008,7.37406,7.672296,Transportation,Revenue
444,05-2008,6.447329999999999,7.045218,Transportation,Revenue
449,06-2008,7.7659199999999995,6.906184,Transportation,Revenue
454,07-2008,8.53776,7.1975145,Transportation,Revenue
459,08-2008,8.76723,8.306662,Transportation,Revenue
464,09-2008,8.76359,8.328105,Transportation,Revenue
469,10-2008,7.81869,7.378422,Transportation,Revenue
474,11-2008,7.97166,6.639062,Transportation,Revenue
479,12-2008,10.572049999999999,6.6051536,Transportation,Revenue
484,01-2009,12.84401,6.5834823,Transportation,Revenue
489,02-2009,10.1839,6.6240253,Transportation,Revenue
494,03-2009,9.105,6.9010143,Transportation,Revenue
499,04-2009,8.132209999999999,6.9012785,Transportation,Revenue
504,05-2009,8.09978,6.6820006,Transportation,Revenue
509,06-2009,7.64656,6.2270083,Transportation,Revenue
514,07-2009,7.22739,6.9125805,Transportation,Revenue
519,08-2009,8.76903,7.7255483,Transportation,Revenue
524,09-2009,7.61473,7.9141145,Transportation,Revenue
529,10-2009,6.94926,7.1268787,Transportation,Revenue
534,11-2009,6.74278,6.173738,Transportation,Revenue
539,12-2009,8.56293,6.5620127,Transportation,Revenue
544,01-2010,10.08672,6.4971495,Transportation,Revenue
549,02-2010,7.97356,6.7629724,Transportation,Revenue
554,03-2010,8.524890000000001,6.165996,Transportation,Revenue
559,04-2010,6.22726,6.2725244,Transportation,Revenue
564,05-2010,6.21618,6.4394836,Transportation,Revenue
569,06-2010,6.57413,6.597993,Transportation,Revenue
574,07-2010,7.011559999999999,7.217986,Transportation,Revenue
579,08-2010,5.67612,7.4632335,Transportation,Revenue
584,09-2010,6.066509999999999,7.04759,Transportation,Revenue
589,10-2010,6.18304,5.7775435,Transportation,Revenue
594,11-2010,6.43506,6.441503,Transportation,Revenue
599,12-2010,9.15826,6.6089864,Transportation,Revenue
604,01-2011,8.484,6.431699,Transportation,Revenue
609,02-2011,7.4985,6.9048185,Transportation,Revenue
614,03-2011,7.24086,6.654583,Transportation,Revenue
619,04-2011,4.9418299999999995,6.169197,Transportation,Revenue
624,05-2011,6.027839999999999,6.586152,Transportation,Revenue
629,06-2011,6.89166,6.4798784,Transportation,Revenue
634,07-2011,6.43651,6.299591,Transportation,Revenue
639,08-2011,7.05946,7.2392178,Transportation,Revenue
644,09-2011,6.6705,6.6198735,Transportation,Revenue
649,10-2011,5.03394,6.265936,Transportation,Revenue
654,11-2011,6.70088,6.1971703,Transportation,Revenue
659,12-2011,6.8355999999999995,6.5311894,Transportation,Revenue
664,01-2012,7.648429999999999,6.6275744,Transportation,Revenue
669,02-2012,7.2444500000000005,6.6035643,Transportation,Revenue
674,03-2012,6.64208,6.4452715,Transportation,Revenue
679,04-2012,6.21419,6.152734,Transportation,Revenue
684,05-2012,5.92277,6.4302516,Transportation,Revenue
689,06-2012,6.8482400000000005,6.4763794,Transportation,Revenue
694,07-2012,7.21664,6.4806294,Transportation,Revenue
699,08-2012,5.762989999999999,6.5879464,Transportation,Revenue
704,09-2012,6.25137,6.0842447,Transportation,Revenue
709,10-2012,5.13463,6.345551,Transportation,Revenue
714,11-2012,6.33539,6.456767,Transportation,Revenue
719,12-2012,6.4892,6.3439245,Transportation,Revenue
724,01-2013,6.71565,6.4926457,Transportation,Revenue
729,02-2013,6.604420000000001,6.4852805,Transportation,Revenue
734,03-2013,6.13152,6.333388,Transportation,Revenue
739,04-2013,6.82237,6.3797,Transportation,Revenue
744,05-2013,6.08492,6.375433,Transportation,Revenue
749,06-2013,5.56602,6.5018835,Transportation,Revenue
754,07-2013,6.3209599999999995,6.0945077,Transportation,Revenue
759,08-2013,6.381570000000001,6.356242,Transportation,Revenue
764,09-2013,5.8353,7.4562078,Transportation,Revenue
769,10-2013,4.4752,7.600503,Transportation,Revenue
774,11-2013,4.45164,5.581791,Transportation,Revenue
779,12-2013,6.56001,6.1828785,Transportation,Revenue
784,01-2014,8.71745,6.6124563,Transportation,Revenue
789,02-2014,11.99773,6.622951,Transportation,Revenue
794,03-2014,7.381,6.518622,Transportation,Revenue
799,04-2014,7.562,6.6350784,Transportation,Revenue
804,05-2014,5.7891,7.106041,Transportation,Revenue
809,06-2014,5.495,7.533069,Transportation,Revenue
814,07-2014,6.1974599999999995,7.860192,Transportation,Revenue
819,08-2014,6.73948,7.3700824,Transportation,Revenue
824,09-2014,6.80834,7.3936944,Transportation,Revenue
829,10-2014,8.0598,6.5753675,Transportation,Revenue
834,11-2014,8.32332,6.424887,Transportation,Revenue
839,12-2014,8.90885,6.4036374,Transportation,Revenue
844,01-2015,7.89374,6.628025,Transportation,Revenue
849,02-2015,9.38135,6.418491,Transportation,Revenue
854,03-2015,6.99097,6.520789,Transportation,Revenue
859,04-2015,6.60095,6.3978877,Transportation,Revenue
864,05-2015,6.10649,6.3150377,Transportation,Revenue
869,06-2015,6.28888,6.4834137,Transportation,Revenue
874,07-2015,6.72582,6.653332,Transportation,Revenue
879,08-2015,6.429539999999999,6.7629013,Transportation,Revenue
884,09-2015,6.51928,7.3462224,Transportation,Revenue
889,10-2015,6.22724,6.379739,Transportation,Revenue
894,11-2015,6.33995,6.191242,Transportation,Revenue
899,12-2015,7.10622,6.3469024,Transportation,Revenue
904,01-2016,7.02444,6.618172,Transportation,Revenue
909,02-2016,7.98189,6.59109,Transportation,Revenue
914,03-2016,6.71544,6.4558573,Transportation,Revenue
919,04-2016,6.42319,6.3916316,Transportation,Revenue
924,05-2016,6.13172,6.249582,Transportation,Revenue
929,06-2016,6.29144,6.5318475,Transportation,Revenue
934,07-2016,6.98212,7.054463,Transportation,Revenue
939,08-2016,6.36502,6.5369387,Transportation,Revenue
944,09-2016,6.71647,6.083562,Transportation,Revenue
949,10-2016,5.976509999999999,6.174772,Transportation,Revenue
954,11-2016,5.75129,6.659099,Transportation,Revenue
959,12-2016,8.3947,6.5185804,Transportation,Revenue
964,01-2017,6.890029999999999,6.3348145,Transportation,Revenue
969,02-2017,6.23956,6.199768,Transportation,Revenue
974,03-2017,5.8575,6.464602,Transportation,Revenue
979,04-2017,5.80632,6.378865,Transportation,Revenue
984,05-2017,6.21308,6.395038,Transportation,Revenue
989,06-2017,6.19678,6.117088,Transportation,Revenue
994,07-2017,6.07403,6.9463024,Transportation,Revenue
1034,03-2018,6.46588,6.9934874,Transportation,Revenue
1039,04-2018,6.363,7.1481957,Transportation,Revenue
1044,05-2018,6.31356,6.640458,Transportation,Revenue
1049,06-2018,6.70931,6.332659,Transportation,Revenue
1054,07-2018,6.9164,7.013568,Transportation,Revenue
1059,08-2018,7.407509999999999,7.238956,Transportation,Revenue
1064,09-2018,7.61526,7.532495,Transportation,Revenue
1069,10-2018,6.88444,7.887576,Transportation,Revenue
1074,11-2018,6.91099,7.5890646,Transportation,Revenue
1079,12-2018,8.181230000000001,5.951339,Transportation,Revenue
1084,01-2019,7.95395,6.310099,Transportation,Revenue
1089,02-2019,8.360570000000001,6.656975,Transportation,Revenue
1094,03-2019,11.996089999999999,6.3478026,Transportation,Revenue
1099,04-2019,7.72441,6.721482,Transportation,Revenue
1104,05-2019,7.31605,6.5205426,Transportation,Revenue
1109,06-2019,6.76514,6.525571,Transportation,Revenue
1114,07-2019,7.3952100000000005,6.2770762,Transportation,Revenue
1119,08-2019,7.38078,7.4065948,Transportation,Revenue
1124,09-2019,6.78812,5.6760726,Transportation,Revenue
1129,10-2019,4.34818,5.9665275,Transportation,Revenue
1134,11-2019,6.769729999999999,5.873513,Transportation,Revenue
1139,12-2019,7.208849999999999,6.6454973,Transportation,Revenue
1144,01-2020,8.14527,6.765258,Transportation,Revenue
1149,02-2020,6.56856,6.39347,Transportation,Revenue
1154,03-2020,7.68948,5.977108,Transportation,Revenue
1159,04-2020,5.9247499999999995,5.120839,Transportation,Revenue
1164,05-2020,4.61302,5.047615,Transportation,Revenue
1169,06-2020,4.39377,5.260884,Transportation,Revenue
1174,07-2020,5.20889,5.275401,Transportation,Revenue
1179,08-2020,5.1475,5.267112,Transportation,Revenue
1184,09-2020,5.23217,6.161052,Transportation,Revenue
1189,10-2020,4.9992,5.7804112,Transportation,Revenue
1194,11-2020,5.043749999999999,5.9753923,Transportation,Revenue
1199,12-2020,5.629180000000001,6.579062,Transportation,Revenue
1204,01-2021,5.78378,6.2413564,Transportation,Revenue
1209,02-2021,7.33628,6.282517,Transportation,Revenue
1214,03-2021,5.81929,5.5858855,Transportation,Revenue
1219,04-2021,5.481120000000001,5.566512,Transportation,Revenue
1224,05-2021,5.030589999999999,5.76486,Transportation,Revenue
1229,06-2021,5.36218,5.88572,Transportation,Revenue
1234,07-2021,6.0496300000000005,5.934847,Transportation,Revenue
1239,08-2021,5.74078,5.841972,Transportation,Revenue
1244,09-2021,5.62538,6.736212,Transportation,Revenue
1249,10-2021,5.37742,7.2775254,Transportation,Revenue
1254,11-2021,5.46948,5.8779764,Transportation,Revenue
1259,12-2021,5.3951899999999995,6.396963,Transportation,Revenue
1264,01-2022,6.93951,6.3983226,Transportation,Revenue
1269,02-2022,8.40881,6.6359544,Transportation,Revenue
1274,03-2022,7.43784,6.222712,Transportation,Revenue
1279,04-2022,4.36416,5.929915,Transportation,Revenue
1284,05-2022,5.5915300000000006,6.258182,Transportation,Revenue
1289,06-2022,6.0783,6.4239483,Transportation,Revenue
1294,07-2022,6.52085,6.46059,Transportation,Revenue
1299,08-2022,6.28538,6.443691,Transportation,Revenue
1304,09-2022,6.296099999999999,6.9008403,Transportation,Revenue
1309,10-2022,5.80464,5.8725696,Transportation,Revenue
1314,11-2022,5.3281600000000005,6.6614623,Transportation,Revenue
1319,12-2022,7.01695,6.709602,Transportation,Revenue
1324,01-2023,7.658370000000001,6.67242,Transportation,Revenue
1329,02-2023,6.52502,5.793502,Transportation,Revenue
1334,03-2023,5.86539,5.280961,Transportation,Revenue
1339,04-2023,3.1861800000000002,5.168741,Transportation,Revenue
1344,05-2023,4.88933,5.5964584,Transportation,Revenue
1349,06-2023,5.43867,6.166527,Transportation,Revenue
1354,07-2023,5.9156200000000005,6.411492,Transportation,Revenue
1359,08-2023,4.47226,5.7926755,Transportation,Revenue
1364,09-2023,6.47497,6.290929,Transportation,Revenue
1369,10-2023,5.5206100000000005,5.2368164,Transportation,Revenue
1374,11-2023,4.04924,6.7148657,Transportation,Revenue
1379,12-2023,5.53482,7.2216783,Transportation,Revenue
1384,01-2024,7.90015,5.8356223,Transportation,Revenue
1389,02-2024,4.95978,6.516883,Transportation,Revenue
0,10-2024,,7.036666,Transportation,Revenue
1,11-2024,,6.6512794,Transportation,Revenue
2,12-2024,,6.6024485,Transportation,Revenue
3,01-2025,,6.6009398,Transportation,Revenue
4,02-2025,,6.6045465,Transportation,Revenue
5,03-2025,,6.4949074,Transportation,Revenue
6,04-2025,,6.4599504,Transportation,Revenue
7,05-2025,,6.450638,Transportation,Revenue
8,06-2025,,6.4495816,Transportation,Revenue
9,07-2025,,6.4725146,Transportation,Revenue
10,08-2025,,6.459037,Transportation,Revenue
11,09-2025,,6.445652,Transportation,Revenue
12,10-2025,,6.4402027,Transportation,Revenue
13,11-2025,,6.434001,Transportation,Revenue
14,12-2025,,6.4408803,Transportation,Revenue
15,01-2026,,6.4419665,Transportation,Revenue
16,02-2026,,6.4390264,Transportation,Revenue
17,03-2026,,6.4378476,Transportation,Revenue
18,04-2026,,6.4345884,Transportation,Revenue
19,05-2026,,6.435218,Transportation,Revenue
20,06-2026,,6.436398,Transportation,Revenue
21,07-2026,,6.436025,Transportation,Revenue
22,08-2026,,6.4361224,Transportation,Revenue
23,09-2026,,6.435174,Transportation,Revenue
124,01-2003,87,89.21354,Transportation,Customer
129,02-2003,78,91.715225,Transportation,Customer
134,03-2003,91,84.459724,Transportation,Customer
139,04-2003,71,93.528244,Transportation,Customer
144,05-2003,85,88.29158,Transportation,Customer
149,06-2003,85,86.864426,Transportation,Customer
154,07-2003,77,93.02577,Transportation,Customer
159,08-2003,85,91.332184,Transportation,Customer
164,09-2003,87,86.36139,Transportation,Customer
169,10-2003,86,94.933556,Transportation,Customer
174,11-2003,73,78.07383,Transportation,Customer
179,12-2003,84,89.893005,Transportation,Customer
184,01-2004,105,91.715675,Transportation,Customer
189,02-2004,127,85.86595,Transportation,Customer
194,03-2004,87,82.865944,Transportation,Customer
199,04-2004,71,87.72511,Transportation,Customer
204,05-2004,80,82.54478,Transportation,Customer
209,06-2004,66,92.68036,Transportation,Customer
214,07-2004,82,89.1431,Transportation,Customer
219,08-2004,86,82.649345,Transportation,Customer
224,09-2004,71,97.98651,Transportation,Customer
229,10-2004,78,96.82307,Transportation,Customer
234,11-2004,71,82.13376,Transportation,Customer
239,12-2004,79,92.24392,Transportation,Customer
244,01-2005,150,95.74514,Transportation,Customer
249,02-2005,114,86.997154,Transportation,Customer
254,03-2005,68,95.768074,Transportation,Customer
259,04-2005,97,95.868095,Transportation,Customer
264,05-2005,75,87.958115,Transportation,Customer
269,06-2005,92,101.85822,Transportation,Customer
274,07-2005,39,91.65619,Transportation,Customer
279,08-2005,140,91.98063,Transportation,Customer
284,09-2005,96,96.697044,Transportation,Customer
289,10-2005,96,103.10182,Transportation,Customer
294,11-2005,88,89.1843,Transportation,Customer
299,12-2005,114,102.4799,Transportation,Customer
304,01-2006,124,97.029495,Transportation,Customer
309,02-2006,92,98.77346,Transportation,Customer
314,03-2006,108,92.68285,Transportation,Customer
319,04-2006,89,92.87014,Transportation,Customer
324,05-2006,89,92.474655,Transportation,Customer
329,06-2006,85,94.08978,Transportation,Customer
334,07-2006,89,101.85467,Transportation,Customer
339,08-2006,97,92.12686,Transportation,Customer
344,09-2006,95,102.178246,Transportation,Customer
349,10-2006,97,97.114685,Transportation,Customer
354,11-2006,73,83.10945,Transportation,Customer
359,12-2006,105,90.304634,Transportation,Customer
364,01-2007,163,98.62972,Transportation,Customer
369,02-2007,92,97.93143,Transportation,Customer
374,03-2007,104,93.95624,Transportation,Customer
379,04-2007,117,87.08525,Transportation,Customer
384,05-2007,58,89.13807,Transportation,Customer
389,06-2007,90,98.3131,Transportation,Customer
394,07-2007,99,99.21882,Transportation,Customer
399,08-2007,98,97.67566,Transportation,Customer
404,09-2007,94,96.954384,Transportation,Customer
409,10-2007,87,99.7012,Transportation,Customer
414,11-2007,89,88.07366,Transportation,Customer
419,12-2007,118,84.388695,Transportation,Customer
424,01-2008,145,99.125404,Transportation,Customer
429,02-2008,116,100.40573,Transportation,Customer
434,03-2008,125,93.27402,Transportation,Customer
439,04-2008,100,93.35607,Transportation,Customer
444,05-2008,87,93.19777,Transportation,Customer
449,06-2008,85,93.76988,Transportation,Customer
454,07-2008,99,102.47897,Transportation,Customer
459,08-2008,103,96.39443,Transportation,Customer
464,09-2008,99,98.62837,Transportation,Customer
469,10-2008,87,85.920265,Transportation,Customer
474,11-2008,87,86.63371,Transportation,Customer
479,12-2008,115,85.71474,Transportation,Customer
484,01-2009,150,92.76245,Transportation,Customer
489,02-2009,116,92.87763,Transportation,Customer
494,03-2009,98,90.83446,Transportation,Customer
499,04-2009,86,90.690636,Transportation,Customer
504,05-2009,88,85.36822,Transportation,Customer
509,06-2009,79,91.4175,Transportation,Customer
514,07-2009,79,98.52055,Transportation,Customer
519,08-2009,97,90.389885,Transportation,Customer
524,09-2009,91,97.80154,Transportation,Customer
529,10-2009,82,93.666176,Transportation,Customer
534,11-2009,82,87.19603,Transportation,Customer
539,12-2009,104,86.76566,Transportation,Customer
544,01-2010,143,97.402596,Transportation,Customer
549,02-2010,105,99.82434,Transportation,Customer
554,03-2010,122,86.37259,Transportation,Customer
559,04-2010,82,91.948944,Transportation,Customer
564,05-2010,87,95.902084,Transportation,Customer
569,06-2010,85,95.06594,Transportation,Customer
574,07-2010,99,91.61285,Transportation,Customer
579,08-2010,79,93.600914,Transportation,Customer
584,09-2010,86,93.66786,Transportation,Customer
589,10-2010,92,88.84412,Transportation,Customer
594,11-2010,95,81.639565,Transportation,Customer
599,12-2010,139,94.3787,Transportation,Customer
604,01-2011,121,96.48078,Transportation,Customer
609,02-2011,110,91.23329,Transportation,Customer
614,03-2011,94,88.94284,Transportation,Customer
619,04-2011,80,92.453735,Transportation,Customer
624,05-2011,86,93.58392,Transportation,Customer
629,06-2011,89,99.37283,Transportation,Customer
634,07-2011,98,92.98181,Transportation,Customer
639,08-2011,91,86.02293,Transportation,Customer
644,09-2011,89,95.93439,Transportation,Customer
649,10-2011,71,87.70819,Transportation,Customer
654,11-2011,98,94.604996,Transportation,Customer
659,12-2011,98,95.16791,Transportation,Customer
664,01-2012,105,101.19284,Transportation,Customer
669,02-2012,116,97.26106,Transportation,Customer
674,03-2012,96,99.16896,Transportation,Customer
679,04-2012,88,97.39267,Transportation,Customer
684,05-2012,96,98.83385,Transportation,Customer
689,06-2012,95,102.92962,Transportation,Customer
694,07-2012,103,103.35092,Transportation,Customer
699,08-2012,98,100.4168,Transportation,Customer
704,09-2012,105,102.677864,Transportation,Customer
709,10-2012,87,90.11049,Transportation,Customer
714,11-2012,102,99.54768,Transportation,Customer
719,12-2012,106,92.308075,Transportation,Customer
724,01-2013,116,99.119644,Transportation,Customer
729,02-2013,117,103.73515,Transportation,Customer
734,03-2013,105,103.79167,Transportation,Customer
739,04-2013,111,102.56675,Transportation,Customer
744,05-2013,100,98.29376,Transportation,Customer
749,06-2013,92,93.440605,Transportation,Customer
754,07-2013,100,102.54097,Transportation,Customer
759,08-2013,110,99.56358,Transportation,Customer
764,09-2013,102,99.3705,Transportation,Customer
769,10-2013,87,87.25932,Transportation,Customer
774,11-2013,84,89.73391,Transportation,Customer
779,12-2013,128,89.15539,Transportation,Customer
784,01-2014,137,95.89234,Transportation,Customer
789,02-2014,151,97.36155,Transportation,Customer
794,03-2014,100,101.734085,Transportation,Customer
799,04-2014,119,94.70622,Transportation,Customer
804,05-2014,90,96.983635,Transportation,Customer
809,06-2014,89,99.28405,Transportation,Customer
814,07-2014,96,99.42312,Transportation,Customer
819,08-2014,109,97.17486,Transportation,Customer
824,09-2014,83,98.174736,Transportation,Customer
829,10-2014,95,92.35869,Transportation,Customer
834,11-2014,97,85.510765,Transportation,Customer
839,12-2014,102,89.43664,Transportation,Customer
844,01-2015,117,93.657166,Transportation,Customer
849,02-2015,134,90.0479,Transportation,Customer
854,03-2015,98,90.87945,Transportation,Customer
859,04-2015,89,89.25715,Transportation,Customer
864,05-2015,82,94.43213,Transportation,Customer
869,06-2015,86,95.60833,Transportation,Customer
874,07-2015,94,96.259346,Transportation,Customer
879,08-2015,90,95.42821,Transportation,Customer
884,09-2015,91,92.231895,Transportation,Customer
889,10-2015,89,94.70464,Transportation,Customer
894,11-2015,83,87.014465,Transportation,Customer
899,12-2015,96,95.50085,Transportation,Customer
904,01-2016,99,98.00311,Transportation,Customer
909,02-2016,116,89.87098,Transportation,Customer
914,03-2016,91,90.89842,Transportation,Customer
919,04-2016,83,90.680855,Transportation,Customer
924,05-2016,85,95.54413,Transportation,Customer
929,06-2016,88,94.2429,Transportation,Customer
934,07-2016,104,96.89682,Transportation,Customer
939,08-2016,90,98.43283,Transportation,Customer
944,09-2016,100,87.47647,Transportation,Customer
949,10-2016,83,88.37595,Transportation,Customer
954,11-2016,77,88.26004,Transportation,Customer
959,12-2016,123,94.78581,Transportation,Customer
964,01-2017,104,92.77055,Transportation,Customer
969,02-2017,97,88.55137,Transportation,Customer
974,03-2017,78,93.98051,Transportation,Customer
979,04-2017,88,94.71206,Transportation,Customer
984,05-2017,88,91.68845,Transportation,Customer
989,06-2017,88,94.82144,Transportation,Customer
994,07-2017,86,99.725784,Transportation,Customer
1034,03-2018,95,98.150215,Transportation,Customer
1039,04-2018,92,99.21842,Transportation,Customer
1044,05-2018,90,95.65951,Transportation,Customer
1049,06-2018,97,100.677666,Transportation,Customer
1054,07-2018,94,102.489075,Transportation,Customer
1059,08-2018,105,102.32443,Transportation,Customer
1064,09-2018,102,101.47934,Transportation,Customer
1069,10-2018,92,107.512794,Transportation,Customer
1074,11-2018,92,88.653145,Transportation,Customer
1079,12-2018,110,92.68315,Transportation,Customer
1084,01-2019,107,88.10547,Transportation,Customer
1089,02-2019,120,93.94304,Transportation,Customer
1094,03-2019,169,86.44804,Transportation,Customer
1099,04-2019,98,96.34263,Transportation,Customer
1104,05-2019,96,94.80443,Transportation,Customer
1109,06-2019,83,94.02357,Transportation,Customer
1114,07-2019,98,100.31112,Transportation,Customer
1119,08-2019,106,92.345695,Transportation,Customer
1124,09-2019,92,91.89209,Transportation,Customer
1129,10-2019,83,89.8054,Transportation,Customer
1134,11-2019,86,86.1318,Transportation,Customer
1139,12-2019,102,93.895744,Transportation,Customer
1144,01-2020,112,90.4297,Transportation,Customer
1149,02-2020,107,89.69186,Transportation,Customer
1154,03-2020,94,85.6054,Transportation,Customer
1159,04-2020,85,81.22327,Transportation,Customer
1164,05-2020,73,82.37905,Transportation,Customer
1169,06-2020,64,89.98381,Transportation,Customer
1174,07-2020,77,87.27363,Transportation,Customer
1179,08-2020,79,83.780655,Transportation,Customer
1184,09-2020,75,81.20679,Transportation,Customer
1189,10-2020,71,89.72366,Transportation,Customer
1194,11-2020,71,89.61267,Transportation,Customer
1199,12-2020,79,91.77572,Transportation,Customer
1204,01-2021,90,94.14245,Transportation,Customer
1209,02-2021,111,85.17316,Transportation,Customer
1214,03-2021,88,81.62392,Transportation,Customer
1219,04-2021,75,84.07669,Transportation,Customer
1224,05-2021,71,91.85582,Transportation,Customer
1229,06-2021,79,92.69243,Transportation,Customer
1234,07-2021,89,87.65689,Transportation,Customer
1239,08-2021,83,87.9276,Transportation,Customer
1244,09-2021,81,85.80498,Transportation,Customer
1249,10-2021,80,84.14253,Transportation,Customer
1254,11-2021,76,92.48972,Transportation,Customer
1259,12-2021,75,87.545425,Transportation,Customer
1264,01-2022,96,92.35297,Transportation,Customer
1269,02-2022,103,89.69403,Transportation,Customer
1274,03-2022,98,78.58052,Transportation,Customer
1279,04-2022,58,89.206955,Transportation,Customer
1284,05-2022,75,86.604355,Transportation,Customer
1289,06-2022,72,91.05372,Transportation,Customer
1294,07-2022,84,86.153404,Transportation,Customer
1299,08-2022,79,83.95902,Transportation,Customer
1304,09-2022,77,83.14189,Transportation,Customer
1309,10-2022,72,88.907776,Transportation,Customer
1314,11-2022,73,91.03794,Transportation,Customer
1319,12-2022,95,87.17818,Transportation,Customer
1324,01-2023,100,86.41464,Transportation,Customer
1329,02-2023,90,82.06628,Transportation,Customer
1334,03-2023,76,76.852974,Transportation,Customer
1339,04-2023,47,88.58007,Transportation,Customer
1344,05-2023,66,89.73934,Transportation,Customer
1349,06-2023,72,88.865456,Transportation,Customer
1354,07-2023,83,82.965614,Transportation,Customer
1359,08-2023,63,92.079865,Transportation,Customer
1364,09-2023,87,81.44062,Transportation,Customer
1369,10-2023,72,85.30603,Transportation,Customer
1374,11-2023,66,86.0818,Transportation,Customer
1379,12-2023,72,92.69521,Transportation,Customer
1384,01-2024,75,77.91688,Transportation,Customer
1389,02-2024,47,89.031166,Transportation,Customer
0,10-2024,,97.81635,Transportation,Customer
1,11-2024,,86.29756,Transportation,Customer
2,12-2024,,85.59059,Transportation,Customer
3,01-2025,,86.29593,Transportation,Customer
4,02-2025,,79.26736,Transportation,Customer
5,03-2025,,76.63798,Transportation,Customer
6,04-2025,,89.538635,Transportation,Customer
7,05-2025,,91.50368,Transportation,Customer
8,06-2025,,89.354706,Transportation,Customer
9,07-2025,,84.47878,Transportation,Customer
10,08-2025,,89.08418,Transportation,Customer
11,09-2025,,95.591545,Transportation,Customer
12,10-2025,,95.62643,Transportation,Customer
13,11-2025,,92.70849,Transportation,Customer
14,12-2025,,92.25364,Transportation,Customer
15,01-2026,,95.54466,Transportation,Customer
16,02-2026,,99.17573,Transportation,Customer
17,03-2026,,99.99953,Transportation,Customer
18,04-2026,,99.19537,Transportation,Customer
19,05-2026,,99.13913,Transportation,Customer
20,06-2026,,99.97479,Transportation,Customer
21,07-2026,,101.79458,Transportation,Customer
22,08-2026,,103.23846,Transportation,Customer
23,09-2026,,103.370186,Transportation,Customer
3,01-2001,2798.1557700000003,2620.6145,Other,Sales
8,02-2001,2718.95397,2797.2336,Other,Sales
13,03-2001,2665.98747,2990.6558,Other,Sales
18,04-2001,2481.63476,2887.7578,Other,Sales
23,05-2001,2784.54394,2713.4429,Other,Sales
28,06-2001,2761.41588,2575.5452,Other,Sales
33,07-2001,2506.61014,2728.4849,Other,Sales
38,08-2001,3578.21821,2731.5173,Other,Sales
43,09-2001,3312.59208,2589.559,Other,Sales
83,05-2002,2600.3068,2776.772,Other,Sales
0,10-2024,,2617.2173,Other,Sales
1,11-2024,,2694.9114,Other,Sales
2,12-2024,,2617.2173,Other,Sales
3,01-2025,,2756.097,Other,Sales
4,02-2025,,2894.9763,Other,Sales
